"PIN","timestamp","country","code","plays","sex","kinsey","partnerSex","age","relstat","children","numChild","childYoungest","childOldest","milkCereal","pos1","pos2","pos3","pos4","pos5","pos6","disgust1","disgust2","disgust3","disgust4","disgust5","disgust6","tdds1","tdds2","tdds3","tdds4","tdds5","tdds6","tdds7","tdds8","tdds9","tdds10","tdds11","tdds12","tdds13","tdds14","tdds15","tdds16","tdds17","tdds18","tdds19","tdds20","tdds21","selfArt","selfHealth","selfKind","selfSexy","selfResources","idealArt","idealHealth","idealKind","idealSexy","idealResources","choiceArt","choiceKind","choiceSexy","choiceWealthy","choiceMoral","choicePath","choiceSex","tddMoral","tddPath","tddSex","tddTotal"
1,"2/9/2023 10:33","pl",NA,1,"1",0,"0",31,"0","0",0,NA,NA,"b","sexy","kind","kind","sexy","sexy","artistic","pathogen","sex","moral","pathogen","moral","sex",6,1,4,6,2,3,1,1,5,5,1,3,6,1,3,5,2,5,5,2,4,8,7,4,7,10,7,8,7,7,7,1,2,3,0,2,2,2,4.85714285714286,3.85714285714286,1.42857142857143,3.38095238095238
2,"1/7/2023 14:32","pl","KG0902",1,"1",0,"0",42,"1","1",3,9,18,"b","artistic","kind","kind","artistic","sexy","artistic","moral","sex","moral","pathogen","moral","sex",2,3,4,4,1,3,2,2,4,4,3,4,4,2,2,2,2,4,2,1,2,6,5,7,5,6,6,7,7,6,6,3,2,1,0,3,1,2,2.85714285714286,3.28571428571429,2,2.71428571428571
3,"3/29/2023 16:02","en","game",1,"0",0,"1",35,"1","1",1,10,NA,"a","kind","artistic","artistic","artistic","artistic","kind","moral","pathogen","pathogen","moral","moral","sex",4,3,4,2,4,3,4,3,4,3,3,4,3,4,3,5,3,4,2,4,3,8,10,8,9,9,10,10,9,9,8,4,2,0,0,3,2,1,3.28571428571429,3.57142857142857,3.42857142857143,3.42857142857143
4,"12/16/2022 18:46","pl","KG0902",1,"0",2,"1",19,"1","0",0,NA,NA,"b","artistic","artistic","sexy","artistic","artistic","artistic","moral","moral","moral","moral","moral","sex",3,2,3,5,0,0,0,0,5,5,0,3,0,4,6,4,6,4,2,1,6,9,7,10,11,7,6,7,7,7,7,5,0,1,0,5,0,1,2.71428571428571,3.85714285714286,1.85714285714286,2.80952380952381
5,"2/6/2023 22:59","en",NA,1,"1",0,"0",25,"1","1",1,3,NA,"b","artistic","wealthy","artistic","sexy","artistic","wealthy","sex","sex","sex","moral","moral","sex",3,4,5,6,0,2,3,1,2,5,1,6,6,3,2,6,2,5,6,0,4,6,6,7,5,7,6,7,8,6,8,3,0,1,2,2,0,4,5,3.71428571428571,1.57142857142857,3.42857142857143
6,"2/6/2023 21:38","en","game",1,"1",3,"0",32,"1","1",1,5,NA,"a","kind","artistic","kind","artistic","artistic","artistic","sex","sex","moral","sex","pathogen","pathogen",5,5,5,5,6,6,6,5,6,6,6,2,2,2,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4,2,0,0,1,2,3,5,5.28571428571429,5.14285714285714,5.14285714285714
7,"2/6/2023 22:16","en","game",1,"1",0,"0",37,"1","1",4,NA,7,"b","kind","wealthy","artistic","kind","sexy","sexy","moral","pathogen","moral","pathogen","pathogen","pathogen",4,6,6,6,5,5,6,5,4,6,2,5,6,3,5,6,4,4,6,6,6,1,9,8,7,8,3,9,9,9,9,1,2,2,1,2,4,0,5.71428571428571,5,4.42857142857143,5.04761904761905
8,"3/7/2023 19:11","en","game",1,"1",3,"1",30,"1","1",1,3,NA,"a","artistic","artistic","kind","artistic","wealthy","wealthy","moral","moral","sex","sex","pathogen","sex",2,1,0,2,3,4,4,0,0,1,2,2,2,1,2,3,4,4,3,2,2,4,8,5,3,4,3,6,8,7,5,3,1,0,2,2,1,3,2.42857142857143,2,1.85714285714286,2.0952380952381
10,"1/4/2023 9:20","pl","KG0902",1,"0",0,"1",40,"1","1",2,15,18,"b","sexy","artistic","kind","artistic","wealthy","artistic","moral","pathogen","sex","moral","sex","sex",0,0,5,5,2,4,2,4,1,3,5,0,1,0,6,4,4,0,3,3,0,11,7,8,8,6,8,8,9,9,7,3,1,1,1,2,1,3,2.57142857142857,2.28571428571429,2.57142857142857,2.47619047619048
11,"12/29/2022 17:05","pl","AB12",1,"0",0,"1",45,"1","0",0,NA,NA,"a","artistic","wealthy","kind","artistic","artistic","artistic","moral","pathogen","moral","pathogen","moral","moral",2,3,6,6,0,0,2,2,2,6,4,4,3,3,3,3,6,4,4,3,2,8,8,8,7,7,7,8,8,7,7,4,1,0,1,4,2,0,3.71428571428571,3,3,3.23809523809524
12,"2/6/2023 20:40","en","game",1,"0",3,"1",22,"0","0",0,NA,NA,"b","wealthy","artistic","artistic","kind","kind","kind","pathogen","pathogen","moral","sex","sex","moral",4,6,6,4,4,0,4,3,5,6,5,3,3,3,6,6,6,2,4,6,1,10,8,8,8,1,11,9,11,11,9,2,3,0,1,2,2,2,4.42857142857143,3.28571428571429,4.71428571428571,4.14285714285714
15,"12/29/2022 19:56","pl","KG0902",1,"0",1,"1",21,"1","0",0,NA,NA,"a","sexy","wealthy","artistic","artistic","wealthy","artistic","sex","moral","sex","pathogen","sex","moral",2,2,5,6,0,1,1,0,1,6,2,1,1,0,5,2,6,4,2,0,6,9,7,8,8,9,7,7,8,8,9,3,0,1,2,2,1,3,2.85714285714286,3.28571428571429,1.42857142857143,2.52380952380952
16,"1/29/2023 14:22","pl",NA,1,"0",5,"0",21,"1","0",0,NA,NA,"b","artistic","kind","artistic","kind","sexy","artistic","moral","sex","pathogen","pathogen","sex","moral",0,0,2,4,0,0,2,0,1,4,0,1,3,0,0,2,0,2,3,0,1,1,6,7,6,6,6,6,7,7,6,3,2,1,0,2,2,2,2.57142857142857,1,0,1.19047619047619
17,"1/29/2023 12:04","pl","KG0902",1,"1",0,"0",30,"0","0",0,NA,NA,"a","sexy","sexy","sexy","wealthy","sexy","artistic","moral","moral","pathogen","sex","sex","sex",2,2,2,3,1,3,2,2,4,3,1,3,3,2,3,2,4,1,4,1,5,4,7,5,2,4,5,8,6,7,7,1,0,4,1,2,1,3,2.71428571428571,3,1.85714285714286,2.52380952380952
18,"1/24/2023 13:38","pl","AB12",1,"0",5,"0",24,"1","0",0,NA,NA,"a","artistic","wealthy","artistic","artistic","sexy","sexy","sex","sex","moral","moral","moral","moral",4,6,6,5,0,4,4,0,5,5,3,5,4,3,3,4,4,6,4,1,3,6,5,7,8,5,6,7,10,11,9,3,0,2,1,4,0,2,4.28571428571429,4.57142857142857,2.42857142857143,3.76190476190476
19,"2/6/2023 22:54","en","game",1,"0",0,"1",25,"1","0",0,NA,NA,"b","wealthy","wealthy","artistic","kind","artistic","kind","sex","sex","moral","pathogen","sex","sex",5,5,6,6,0,1,5,3,4,5,3,6,6,2,4,5,5,5,6,1,3,4,8,11,8,7,3,9,11,7,7,2,2,0,2,1,1,4,5.42857142857143,4.14285714285714,2.71428571428571,4.09523809523809
20,"12/28/2022 10:52","pl","AB12",1,"0",3,"1",21,"1","0",0,NA,NA,"b","sexy","wealthy","artistic","kind","artistic","artistic","pathogen","moral","sex","pathogen","sex","sex",3,2,1,6,0,3,3,0,4,5,0,4,2,0,0,1,6,6,5,3,5,7,6,7,6,7,8,7,7,8,8,3,1,1,1,1,2,3,3.57142857142857,3.28571428571429,1.57142857142857,2.80952380952381
21,"1/23/2023 21:34","pl","INSTAGRAM STUDY",1,"0",3,"1",20,"0","0",0,NA,NA,"a","artistic","artistic","wealthy","kind","sexy","kind","moral","pathogen","pathogen","pathogen","sex","pathogen",1,5,3,4,1,2,3,0,1,6,4,3,4,2,4,5,3,3,5,0,1,9,6,6,4,8,7,6,7,6,6,2,2,1,1,1,4,1,4,2.42857142857143,2.14285714285714,2.85714285714286
22,"12/28/2022 10:13","pl","AB12",1,"0",3,"1",27,"1","0",0,NA,NA,"b","artistic","wealthy","artistic","kind","sexy","artistic","moral","pathogen","pathogen","sex","moral","pathogen",2,3,5,2,0,2,2,1,2,4,4,5,2,0,4,2,5,6,2,1,1,7,6,6,6,7,7,6,6,6,6,3,1,1,1,2,3,1,2.28571428571429,3.57142857142857,2,2.61904761904762
23,"2/6/2023 20:38","en","game",1,"1",0,"0",35,"0","0",0,NA,NA,"b","wealthy","artistic","kind","artistic","artistic","kind","moral","moral","pathogen","pathogen","pathogen","sex",0,0,2,1,0,3,0,0,3,1,3,3,1,0,4,1,0,4,1,0,1,6,6,8,8,7,3,6,8,9,9,3,2,0,1,2,3,1,0.714285714285714,2.85714285714286,0.428571428571429,1.33333333333333
24,"12/28/2022 22:19","pl","AB12",1,"0",3,"0",23,"1","0",0,NA,NA,"b","artistic","sexy","wealthy","sexy","sexy","artistic","sex","pathogen","moral","moral","sex","moral",0,3,5,4,0,3,4,0,4,4,4,4,3,3,3,3,4,5,4,2,6,10,6,8,4,5,6,6,7,7,7,2,0,3,1,3,1,2,3.14285714285714,4.28571428571429,2.28571428571429,3.23809523809524
25,"3/21/2023 13:46","en","game",1,"1",0,"0",33,"1","1",1,7,NA,"b","sexy","sexy","sexy","artistic","artistic","artistic","sex","sex","sex","sex","sex","sex",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,8,11,11,11,11,11,3,0,3,0,0,0,6,6,6,6,6
26,"1/5/2023 21:02","pl","KG0902",1,"0",1,"1",21,"0","0",0,NA,NA,"a","sexy","wealthy","sexy","artistic","sexy","artistic","pathogen","sex","moral","sex","sex","sex",3,2,4,4,1,4,1,0,1,4,1,4,1,2,5,3,3,6,3,1,2,7,8,8,8,7,7,7,7,9,8,2,0,3,1,1,1,4,2.71428571428571,3.71428571428571,1.42857142857143,2.61904761904762
27,"3/29/2023 16:18","en",NA,1,"0",0,"1",30,"0","0",0,NA,NA,"b","sexy","kind","kind","artistic","artistic","sexy","moral","moral","moral","moral","moral","moral",3,1,2,3,2,3,2,1,2,3,3,3,3,1,2,3,2,4,3,2,3,7,6,6,7,7,8,7,6,5,7,2,2,2,0,6,0,0,2.85714285714286,2.71428571428571,1.71428571428571,2.42857142857143
28,"2/6/2023 22:54","en",NA,1,"1",0,"0",41,"1","1",2,21,22,"b","wealthy","sexy","wealthy","sexy","wealthy","artistic","moral","sex","sex","moral","sex","sex",6,2,6,6,0,4,3,2,4,6,6,6,6,2,6,3,1,6,4,0,3,4,4,11,3,3,6,6,10,10,8,1,0,2,3,2,0,4,4.85714285714286,5,1.85714285714286,3.9047619047619
29,"2/7/2023 2:20","en",NA,1,"1",1,"0",27,"0","0",0,NA,NA,"a","artistic",NA,"artistic","kind","kind","artistic","pathogen","sex","sex","moral","moral","moral",4,5,5,4,4,5,5,4,5,6,5,5,4,4,5,4,5,4,4,5,4,8,9,8,7,9,7,6,8,8,6,NA,NA,NA,NA,3,1,2,4.42857142857143,4.71428571428571,4.57142857142857,4.57142857142857
30,"2/24/2023 2:13","en","game",1,"1",0,"0",34,"0","0",0,NA,NA,"a","wealthy","artistic","artistic","artistic","sexy","artistic","moral","sex","pathogen","pathogen","moral","pathogen",5,5,4,6,5,4,5,1,0,4,2,3,6,3,4,2,4,2,5,3,3,6,7,7,6,7,6,9,7,6,6,4,0,1,1,2,3,1,4.71428571428571,2.85714285714286,3.28571428571429,3.61904761904762
31,"12/16/2022 20:45","pl",NA,1,"0",3,"1",25,"0","0",0,NA,NA,"b","artistic","kind","sexy","artistic","sexy","artistic","pathogen","sex","pathogen","moral","moral","pathogen",4,2,3,6,0,0,1,0,0,3,0,4,6,0,2,2,4,6,4,0,3,11,7,7,7,6,6,7,7,6,6,3,1,2,0,2,3,1,3.71428571428571,2.57142857142857,0.857142857142857,2.38095238095238
32,"3/29/2023 16:10","en","game",1,"1",0,"0",35,"1","1",1,10,NA,"a","kind","sexy","wealthy","sexy","artistic","kind","pathogen","moral","sex","sex","moral","pathogen",3,4,2,5,4,5,3,4,3,5,4,4,3,5,4,4,3,5,4,5,4,7,9,10,7,8,9,7,8,6,9,1,2,2,1,2,2,2,3.85714285714286,3.85714285714286,4.14285714285714,3.95238095238095
33,"12/28/2022 21:13","pl","AB12",1,"0",1,"1",25,"1","0",0,NA,NA,"b","sexy","wealthy","artistic","kind","artistic","artistic","moral","sex","moral","moral","sex","sex",4,0,6,6,0,1,0,0,4,6,3,4,2,0,2,4,6,6,3,3,6,4,6,7,5,4,6,6,7,6,7,3,1,1,1,3,0,3,3.57142857142857,4.14285714285714,1.71428571428571,3.14285714285714
34,"2/7/2023 0:10","en","game",1,"1",0,"0",33,"1","0",0,NA,NA,"b","wealthy","sexy","sexy","sexy","wealthy","sexy","moral","sex","sex","sex","moral","sex",0,0,6,0,6,5,0,0,5,6,0,6,0,0,2,1,0,6,1,0,1,6,11,6,7,7,6,6,6,7,6,0,0,4,2,2,0,4,1.14285714285714,4.42857142857143,0.857142857142857,2.14285714285714
35,"12/16/2022 18:18","pl",NA,1,"0",0,"1",24,"0","0",0,NA,NA,"b","artistic","kind","sexy","kind","wealthy","artistic","moral","sex","sex","moral","sex","sex",0,2,6,0,1,5,0,0,4,0,3,6,0,2,4,0,4,4,0,3,3,7,9,6,7,9,4,9,6,6,9,2,2,1,1,2,0,4,0,4.57142857142857,2.14285714285714,2.23809523809524
36,"12/16/2022 18:03","pl",NA,1,"0",1,"1",29,"1","0",0,NA,NA,"b","kind","sexy","sexy","artistic","artistic","sexy","moral","sex","pathogen","moral","pathogen","sex",4,1,6,5,0,3,5,0,3,6,1,4,3,1,2,4,3,4,5,1,5,10,6,8,7,9,7,7,7,7,7,2,1,3,0,2,2,2,4.57142857142857,3.85714285714286,1,3.14285714285714
38,"2/6/2023 21:43","en",NA,1,"0",1,"1",44,"1","1",4,12,20,"b","artistic","wealthy","artistic","artistic","wealthy","kind","moral","pathogen","moral","pathogen","moral","pathogen",4,4,1,6,1,0,4,3,4,6,6,1,5,6,6,1,5,2,4,4,1,6,8,7,8,8,6,8,8,8,8,3,1,0,2,3,3,0,4.28571428571429,2.14285714285714,4.14285714285714,3.52380952380952
39,"2/12/2023 17:07","pl",NA,1,"1",5,"1",20,"0","0",0,NA,NA,"b","artistic",NA,"artistic","artistic","wealthy","artistic","pathogen","sex","pathogen","sex","pathogen","moral",1,6,1,4,1,0,1,2,5,6,6,3,6,6,6,4,6,4,6,2,3,9,8,7,7,6,8,8,9,8,8,NA,NA,NA,NA,1,3,2,4,3.14285714285714,4.14285714285714,3.76190476190476
40,"3/29/2023 16:21","en",NA,1,"0",0,"1",31,"0","0",0,NA,NA,"b","artistic","sexy","sexy","artistic","sexy","sexy","moral","sex","pathogen","moral","moral","moral",3,1,6,4,5,1,3,3,4,4,6,6,6,2,6,6,5,6,3,4,6,6,9,11,6,6,9,11,11,11,9,2,0,4,0,4,1,1,4.14285714285714,5,3.71428571428571,4.28571428571429
41,"1/23/2023 16:25","en","INSTAGRAM STUDY",1,"0",5,"0",19,"1","0",0,NA,NA,"b","artistic","sexy","wealthy","kind","kind","kind","pathogen","pathogen","moral","pathogen","moral","moral",1,6,6,3,5,1,2,3,3,5,6,5,3,5,4,5,5,2,2,4,5,6,7,7,5,6,6,7,8,7,6,1,3,1,1,3,3,0,3,3.71428571428571,4.85714285714286,3.85714285714286
