"PIN","timestamp","country","code","plays","sex","kinsey","partnerSex","age","relstat","children","numChild","childYoungest","childOldest","milkCereal","pos1","pos2","pos3","pos4","pos5","pos6","disgust1","disgust2","disgust3","disgust4","disgust5","disgust6","tdds1","tdds2","tdds3","tdds4","tdds5","tdds6","tdds7","tdds8","tdds9","tdds10","tdds11","tdds12","tdds13","tdds14","tdds15","tdds16","tdds17","tdds18","tdds19","tdds20","tdds21","selfArt","selfHealth","selfKind","selfSexy","selfResources","idealArt","idealHealth","idealKind","idealSexy","idealResources","choiceArt","choiceHealth","choiceKind","choiceSexy","choiceWealthy","choiceMoral","choicePath","choiceSex","tddMoral","tddPath","tddSex","tddTotal","mv"
1,"2/9/2023 10:33","pl",NA,1,"1",0,"0",31,"0","0",0,NA,NA,"b","sexy","kind","kind","sexy","sexy","artistic","pathogen","sex","moral","pathogen","moral","sex",6,1,4,6,2,3,1,1,5,5,1,3,6,1,3,5,2,5,5,2,4,8,7,4,7,10,7,8,7,7,7,1,0,2,3,0,2,2,2,4.85714285714286,3.85714285714286,1.42857142857143,3.38095238095238,7.69933808057557
2,"1/7/2023 14:32","pl","KG0902",1,"1",0,"0",42,"1","1",3,9,18,"b","artistic","kind","kind","healthy","sexy","artistic","moral","sex","moral","pathogen","moral","sex",2,3,4,4,1,3,2,2,4,4,3,4,4,2,2,2,2,4,2,1,2,6,5,7,5,6,6,7,7,6,6,2,1,2,1,0,3,1,2,2.85714285714286,3.28571428571429,2,2.71428571428571,8.18614159744297
5,"2/6/2023 22:59","en",NA,1,"1",0,"0",25,"1","1",1,3,NA,"b","healthy","wealthy","artistic","sexy","healthy","wealthy","sex","sex","sex","moral","moral","sex",3,4,5,6,0,2,3,1,2,5,1,6,6,3,2,6,2,5,6,0,4,6,6,7,5,7,6,7,8,6,8,1,2,0,1,2,2,0,4,5,3.71428571428571,1.57142857142857,3.42857142857143,8.56354058955358
6,"2/6/2023 21:38","en","game",1,"1",3,"0",32,"1","1",1,5,NA,"a","kind","healthy","kind","healthy","healthy","healthy","sex","sex","moral","sex","pathogen","pathogen",5,5,5,5,6,6,6,5,6,6,6,2,2,2,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,0,4,2,0,0,1,2,3,5,5.28571428571429,5.14285714285714,5.14285714285714,8.48816738357637
7,"2/6/2023 22:16","en","game",1,"1",0,"0",37,"1","1",4,NA,7,"b","kind","wealthy","healthy","kind","sexy","sexy","moral","pathogen","moral","pathogen","pathogen","pathogen",4,6,6,6,5,5,6,5,4,6,2,5,6,3,5,6,4,4,6,6,6,1,9,8,7,8,3,9,9,9,9,0,1,2,2,1,2,4,0,5.71428571428571,5,4.42857142857143,5.04761904761905,7.49687438188126
8,"3/7/2023 19:11","en","game",1,"1",3,"1",30,"1","1",1,3,NA,"a","healthy","artistic","kind","artistic","wealthy","wealthy","moral","moral","sex","sex","pathogen","sex",2,1,0,2,3,4,4,0,0,1,2,2,2,1,2,3,4,4,3,2,2,4,8,5,3,4,3,6,8,7,5,2,1,1,0,2,2,1,3,2.42857142857143,2,1.85714285714286,2.0952380952381,6.92168743782366
17,"1/29/2023 12:04","pl","KG0902",1,"1",0,"0",30,"0","0",0,NA,NA,"a","sexy","sexy","sexy","wealthy","sexy","artistic","moral","moral","pathogen","sex","sex","sex",2,2,2,3,1,3,2,2,4,3,1,3,3,2,3,2,4,1,4,1,5,4,7,5,2,4,5,8,6,7,7,1,0,0,4,1,2,1,3,2.71428571428571,3,1.85714285714286,2.52380952380952,6.60647554444459
23,"2/6/2023 20:38","en","game",1,"1",0,"0",35,"0","0",0,NA,NA,"b","wealthy","artistic","kind","artistic","artistic","kind","moral","moral","pathogen","pathogen","pathogen","sex",0,0,2,1,0,3,0,0,3,1,3,3,1,0,4,1,0,4,1,0,1,6,6,8,8,7,3,6,8,9,9,3,0,2,0,1,2,3,1,0.714285714285714,2.85714285714286,0.428571428571429,1.33333333333333,9.19786806704877
25,"3/21/2023 13:46","en","game",1,"1",0,"0",33,"1","1",1,7,NA,"b","sexy","sexy","sexy","healthy","healthy","healthy","sex","sex","sex","sex","sex","sex",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,8,11,11,11,11,11,0,3,0,3,0,0,0,6,6,6,6,6,6.71359578339835
28,"2/6/2023 22:54","en",NA,1,"1",0,"0",41,"1","1",2,21,22,"b","wealthy","sexy","wealthy","sexy","wealthy","artistic","moral","sex","sex","moral","sex","sex",6,2,6,6,0,4,3,2,4,6,6,6,6,2,6,3,1,6,4,0,3,4,4,11,3,3,6,6,10,10,8,1,0,0,2,3,2,0,4,4.85714285714286,5,1.85714285714286,3.9047619047619,6.33599984725143
