Wersja j?zykowa (PL/EN),Zgoda na udzia? (wszyscy = 1),Kod polecaj?cy (nieobligatoryjne),"Po raz kt¢ry gra (1 = 1, 2 = 2, 3 = 3, 4 i 4+ = 4)","P?e? (M??czyzna, Kobieta, Inna)",Skala Kinseya (0-6),"Biseksualno?? - scenariusz z kobiet? = F, scenariusz z m??czyzn? = M)",Wiek,"PozytywnaPrezentacja1 (a= sexy, b = kind, c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja2 (a= sexy, b = kind, c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja3 (a= sexy, b = kind,c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja4 (a= sexy, b = kind, c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja5 (a= sexy, b = kind, c = wealthy, d = healthy, e = artistic)","PozytywnaPrezentacja6 (a= sexy, b = kind, c = wealthy, d= healthy,  e= artistic)","ObrzydliwaPrezencja1 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja2 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja3 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja4 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja5 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja6 (a = patogen, b = sex, c = moral)",Tybur1 (0-6),Tybur2 (0-6),Tybur3(0-6),Tybur4 (0-6),Tybur5 (0-6),Tybur6(0-6),Tybur7 (0-6),Tybur8 (0-6),Tybur9 (0-6),Tybur10 (0-6),Tybur11 (0-6),Tybur12 (0-6),Tybur13 (0-6),Tybur14 (0-6),Tybur15 (0-6),Tybur16 (0-6),Tybur17 (0-6),Tybur18 (0-6),Tybur19 (0-6),Tybur20 (0-6),Tybur21 (0-6),SelfArt (1-11),SelfHealth (1-11),SelfKind (1-11),SelfSexy (1-11),SelfWealth (1-11),IdealArt (1-11),IdealHealth (1-11),IdealKind (1-11),IdealSexy (1-11,IdealWealth (1-11),HasChildren?,HowManyKids,YoungestKidAge,OldestKidAge,"MilkVSCereal (a - milk first, b- cereal first)",attention check,relationship status,timestamp
pl,TRUE,NA,1,m,0,f,31,a,b,b,a,a,e,a,b,c,a,c,b,6,1,4,6,2,3,1,1,5,5,1,3,6,1,3,5,2,5,5,2,4,8,7,4,7,10,7,8,7,7,7,Nie,0,NA,NA,b,2,single,2/9/2023 10:33
pl,TRUE,KG0902,1,m,0,f,42,e,b,b,d,a,e,c,b,c,a,c,b,2,3,4,4,1,3,2,2,4,4,3,4,4,2,2,2,2,4,2,1,2,6,5,7,5,6,6,7,7,6,6,Tak,3,9,18,b,2,in relationship,1/7/2023 14:32
en,TRUE,game,1,f,0,m,35,b,e,d,e,d,b,c,a,a,c,c,b,4,3,4,2,4,3,4,3,4,3,3,4,3,4,3,5,3,4,2,4,3,8,10,8,9,9,10,10,9,9,8,Yes,1,10,NA,a,2,in relationship,3/29/2023 16:02
pl,TRUE,KG0902,1,f,2,m,19,e,e,a,d,d,e,c,c,c,c,c,b,3,2,3,5,0,0,0,0,5,5,0,3,0,4,6,4,6,4,2,1,6,9,7,10,11,7,6,7,7,7,7,Nie,0,NA,NA,b,2,in relationship,12/16/2022 18:46
en,TRUE,NA,1,m,0,f,25,d,c,e,a,d,c,b,b,b,c,c,b,3,4,5,6,0,2,3,1,2,5,1,6,6,3,2,6,2,5,6,0,4,6,6,7,5,7,6,7,8,6,8,Yes,1,3,NA,b,2,in relationship,2/6/2023 22:59
en,TRUE,game,1,m,3,f,32,b,d,b,d,d,d,b,b,c,b,a,a,5,5,5,5,6,6,6,5,6,6,6,2,2,2,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,Yes,1,5,NA,a,2,in relationship,2/6/2023 21:38
en,TRUE,game,1,m,0,f,37,b,c,d,b,a,a,c,a,c,a,a,a,4,6,6,6,5,5,6,5,4,6,2,5,6,3,5,6,4,4,6,6,6,1,9,8,7,8,3,9,9,9,9,Yes,4,NA,7,b,2,in relationship,2/6/2023 22:16
en,TRUE,game,1,m,3,m,30,d,e,b,e,c,c,c,c,b,b,a,b,2,1,0,2,3,4,4,0,0,1,2,2,2,1,2,3,4,4,3,2,2,4,8,5,3,4,3,6,8,7,5,Yes,1,3,NA,a,2,in relationship,3/7/2023 19:11
en,TRUE,NA,1,f,4,f,25,c,d,d,a,d,b,b,c,c,b,b,a,3,4,3,3,4,4,3,4,3,4,3,3,2,3,2,3,3,2,3,2,3,3,6,3,3,5,3,5,6,7,7,Yes,1,5,NA,a,2,in relationship,3/29/2023 18:18
pl,TRUE,KG0902,1,f,0,m,40,a,e,b,d,c,e,c,a,b,c,b,b,0,0,5,5,2,4,2,4,1,3,5,0,1,0,6,4,4,0,3,3,0,11,7,8,8,6,8,8,9,9,7,Tak,2,15,18,b,2,in relationship,1/4/2023 9:20
pl,TRUE,AB12,1,f,0,m,45,e,c,b,e,e,d,c,a,c,a,c,c,2,3,6,6,0,0,2,2,2,6,4,4,3,3,3,3,6,4,4,3,2,8,8,8,7,7,7,8,8,7,7,Nie,0,NA,NA,a,2,in relationship,12/29/2022 17:05
en,TRUE,game,1,f,3,m,22,c,e,d,b,b,b,a,a,c,b,b,c,4,6,6,4,4,0,4,3,5,6,5,3,3,3,6,6,6,2,4,6,1,10,8,8,8,1,11,9,11,11,9,No,0,NA,NA,b,2,single,2/6/2023 20:40
en,TRUE,game,1,f,6,f,41,d,d,e,e,d,d,c,b,b,a,a,a,5,6,4,6,5,4,6,5,6,5,6,5,6,4,6,5,6,4,5,4,6,11,9,10,10,11,8,11,10,9,11,Yes,2,5,12,a,2,in relationship,3/7/2023 19:13
en,TRUE,game,2,m,4,m,32,e,e,e,a,d,a,c,c,a,b,c,a,4,2,6,5,4,3,5,5,4,3,2,4,3,5,3,5,4,3,5,4,5,2,5,6,6,9,3,8,5,7,5,Yes,1,4,NA,a,2,in relationship,3/7/2023 20:17
pl,TRUE,KG0902,1,f,1,m,21,a,c,e,d,c,e,b,c,b,a,b,c,2,2,5,6,0,1,1,0,1,6,2,1,1,0,5,2,6,4,2,0,6,9,7,8,8,9,7,7,8,8,9,Nie,0,NA,NA,a,2,in relationship,12/29/2022 19:56
pl,TRUE,NA,1,f,5,f,21,e,b,e,b,a,e,c,b,a,a,b,c,0,0,2,4,0,0,2,0,1,4,0,1,3,0,0,2,0,2,3,0,1,1,6,7,6,6,6,6,7,7,6,Nie,0,NA,NA,b,2,in relationship,1/29/2023 14:22
pl,TRUE,KG0902,1,m,0,f,30,a,a,a,c,a,e,c,c,a,b,b,b,2,2,2,3,1,3,2,2,4,3,1,3,3,2,3,2,4,1,4,1,5,4,7,5,2,4,5,8,6,7,7,Nie,0,NA,NA,a,2,single,1/29/2023 12:04
pl,TRUE,AB12,1,f,5,f,24,d,c,e,d,a,a,b,b,c,c,c,c,4,6,6,5,0,4,4,0,5,5,3,5,4,3,3,4,4,6,4,1,3,6,5,7,8,5,6,7,10,11,9,Nie,0,NA,NA,a,2,in relationship,1/24/2023 13:38
en,TRUE,game,1,f,0,m,25,c,c,e,b,d,b,b,b,c,a,b,b,5,5,6,6,0,1,5,3,4,5,3,6,6,2,4,5,5,5,6,1,3,4,8,11,8,7,3,9,11,7,7,No,0,NA,NA,b,2,in relationship,2/6/2023 22:54
pl,TRUE,AB12,1,f,3,m,21,a,c,e,b,e,e,a,c,b,a,b,b,3,2,1,6,0,3,3,0,4,5,0,4,2,0,0,1,6,6,5,3,5,7,6,7,6,7,8,7,7,8,8,Nie,0,NA,NA,b,2,in relationship,12/28/2022 10:52
pl,TRUE,INSTAGRAM STUDY,1,f,3,m,20,e,e,c,b,a,b,c,a,a,a,b,a,1,5,3,4,1,2,3,0,1,6,4,3,4,2,4,5,3,3,5,0,1,9,6,6,4,8,7,6,7,6,6,Nie,0,NA,NA,a,2,single,1/23/2023 21:34
pl,TRUE,AB12,1,f,3,m,27,e,c,e,b,a,e,c,a,a,b,c,a,2,3,5,2,0,2,2,1,2,4,4,5,2,0,4,2,5,6,2,1,1,7,6,6,6,7,7,6,6,6,6,Nie,0,NA,NA,b,2,in relationship,12/28/2022 10:13
en,TRUE,game,1,m,0,f,35,c,e,b,e,e,b,c,c,a,a,a,b,0,0,2,1,0,3,0,0,3,1,3,3,1,0,4,1,0,4,1,0,1,6,6,8,8,7,3,6,8,9,9,No,0,NA,NA,b,2,single,2/6/2023 20:38
pl,TRUE,AB12,1,f,3,f,23,e,a,c,a,a,e,b,a,c,c,b,c,0,3,5,4,0,3,4,0,4,4,4,4,3,3,3,3,4,5,4,2,6,10,6,8,4,5,6,6,7,7,7,Nie,0,NA,NA,b,2,in relationship,12/28/2022 22:19
